date,gamePk,home_team,away_team,home_score,away_score,home_ops,home_era,home_whip,away_ops,away_era,away_whip,run_diff_home,run_diff_away,result_home,result_away,home_record,away_record
2025-03-09,778928,Kansas City Royals,Milwaukee Brewers,5,2,1.039,1.0,0.889,0.48,4.5,1.5,3,-3,1,0,0-4,0-4
2025-03-09,778822,Cleveland Guardians,Chicago White Sox,1,0,0.421,0.0,0.556,0.318,1.125,0.625,1,-1,1,0,0-3,0-4
2025-03-09,778988,San Francisco Giants,San Diego Padres,7,4,0.821,4.0,1.556,0.774,7.875,1.875,3,-3,1,0,0-3,0-3
2025-03-09,778851,Los Angeles Dodgers,Athletics,5,7,0.713,7.0,1.444,0.856,5.0,1.333,-2,2,0,1,0-4,0-4
2025-03-09,778965,Tampa Bay Rays,Toronto Blue Jays,9,13,0.945,9.0,2.556,1.161,9.0,1.889,-4,4,0,1,0-4,0-5
2025-03-09,778891,New York Mets,Washington Nationals,7,6,0.794,3.0,2.111,0.714,1.125,1.25,1,-1,1,0,0-2,0-4
2025-03-09,779072,St. Louis Cardinals,New York Yankees,6,5,1.121,5.0,1.667,1.072,6.75,1.625,1,-1,1,0,0-4,0-3
2025-03-09,778725,Houston Astros,Miami Marlins,6,10,0.942,8.0,2.111,0.939,6.0,1.444,-4,4,0,1,0-3,0-4
2025-03-09,778762,Boston Red Sox,Atlanta Braves,7,3,0.972,3.0,1.333,0.717,7.875,1.75,4,-4,1,0,0-4,0-2
2025-03-09,778907,Philadelphia Phillies,Baltimore Orioles,12,2,1.094,2.0,0.667,0.494,13.5,2.375,10,-10,1,0,0-4,0-3
2025-03-09,779125,Baltimore Orioles,Minnesota Twins,4,3,0.578,3.0,0.778,0.676,1.125,1.375,1,-1,1,0,0-4,0-4
2025-03-09,789464,Athletics,Arizona Diamondbacks,5,7,0.834,5.0,1.889,0.644,5.0,2.111,-2,2,0,1,0-4,0-4
2025-03-09,779110,Detroit Tigers,Pittsburgh Pirates,5,3,0.911,3.0,1.444,0.657,5.625,1.5,2,-2,1,0,0-4,0-4
2025-03-10,778892,New York Mets,St. Louis Cardinals,8,0,1.08,0.0,1.0,0.395,9.0,1.75,8,-8,1,0,0-3,0-4
2025-03-10,778726,Washington Nationals,Miami Marlins,5,10,0.829,6.0,2.222,0.905,5.0,1.333,-5,5,0,1,0-4,0-5
2025-03-10,779031,Pittsburgh Pirates,Baltimore Orioles,3,6,0.686,5.0,1.444,0.722,3.0,1.444,-3,3,0,1,0-4,0-4
2025-03-10,779093,Milwaukee Brewers,Seattle Mariners,7,5,0.948,5.0,1.444,0.779,7.875,1.75,2,-2,1,0,0-3,0-4
2025-03-10,778791,Colorado Rockies,San Francisco Giants,2,8,0.526,8.0,2.0,0.925,2.0,0.778,-6,6,0,1,0-3,0-4
2025-03-10,779009,San Diego Padres,Cincinnati Reds,3,9,0.65,9.0,2.333,0.894,2.0,0.778,-6,6,0,1,0-4,0-4
2025-03-10,779153,Los Angeles Angels,Colorado Rockies,12,3,1.234,3.0,1.111,0.58,13.5,2.375,9,-9,1,0,0-4,0-4
2025-03-10,779137,Athletics,Chicago White Sox,3,10,0.598,10.0,1.889,0.993,3.0,1.444,-7,7,0,1,0-5,0-5
2025-03-10,778850,Los Angeles Dodgers,Arizona Diamondbacks,6,2,0.823,2.0,0.667,0.446,6.75,1.5,4,-4,1,0,0-5,0-5
2025-03-10,778931,Kansas City Royals,Cleveland Guardians,2,5,0.706,5.0,1.556,0.854,2.0,1.222,-3,3,0,1,0-5,0-4
2025-03-10,778821,Cleveland Guardians,Chicago Cubs,4,7,0.698,6.0,2.0,1.018,4.0,1.0,-3,3,0,1,0-4,0-2
2025-03-10,779067,Miami Marlins,Washington Nationals,9,9,0.901,7.0,1.778,0.957,6.0,1.444,0,0,0,0,0-4,0-5
2025-03-10,778956,Toronto Blue Jays,Houston Astros,8,3,0.97,3.0,0.889,0.544,9.0,1.75,5,-5,1,0,0-3,0-4
2025-03-10,779049,New York Yankees,Detroit Tigers,10,2,1.215,1.0,0.778,0.406,11.25,1.625,8,-8,1,0,0-4,0-3
2025-03-10,778702,Atlanta Braves,Tampa Bay Rays,3,4,0.447,4.0,1.222,0.721,3.0,0.889,-1,1,0,1,0-5,0-4
2025-03-10,778877,Minnesota Twins,Philadelphia Phillies,1,4,0.697,4.0,1.889,0.811,1.0,1.556,-3,3,0,1,0-4,0-4
2025-03-11,778983,San Francisco Giants,Athletics,5,3,0.902,3.0,1.222,0.639,5.625,1.5,2,-2,1,0,0-4,0-5
